ligand,receptor,pathway,category,species,database,database_version
GAS6,TYRO3,GAS,Secreted Signaling,human,CellChat-compatible focused prior,0.1-local
CSF1,CSF1R,CSF,Secreted Signaling,human,CellChat-compatible focused prior,0.1-local
CSF2,CSF2RA+CSF2RB,CSF,Secreted Signaling,human,CellChat-compatible focused prior,0.1-local
CSF3,CSF3R,CSF,Secreted Signaling,human,CellChat-compatible focused prior,0.1-local
FN1,ITGA5+ITGB1,FN1,ECM-Receptor,human,CellChat-compatible focused prior,0.1-local
COL1A1,ITGA1+ITGB1,Collagen,ECM-Receptor,human,CellChat-compatible focused prior,0.1-local
COL3A1,ITGA1+ITGB1,Collagen,ECM-Receptor,human,CellChat-compatible focused prior,0.1-local
LAMC1,ITGA6+ITGB1,Laminin,ECM-Receptor,human,CellChat-compatible focused prior,0.1-local
JAG1,NOTCH1,Notch,Cell-Cell Contact,human,CellChat-compatible focused prior,0.1-local
JAG2,NOTCH2,Notch,Cell-Cell Contact,human,CellChat-compatible focused prior,0.1-local
DLL1,NOTCH1,Notch,Cell-Cell Contact,human,CellChat-compatible focused prior,0.1-local
DLL4,NOTCH1,Notch,Cell-Cell Contact,human,CellChat-compatible focused prior,0.1-local
