cluster_id,theme_label,term_count,source_count,sources,union_gene_count,union_genes,representative_term_id,representative_term_name,theme_term_counts
theme_25,Lipid / fatty-acid / eicosanoid metabolism,3,1,GO:BP,4,CRP;PPARD;PPARG;SIRT1,GO:0010883,regulation of lipid storage,general_metabolism=1;lipid_eicosanoid=2
theme_26,Chemical / oxygen / abiotic stress response,5,1,GO:BP,7,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1,GO:0001666,response to hypoxia,chemical_oxygen_stress=5
theme_27,Signaling / receptor / hormone response,1,1,GO:BP,5,ESR1;PPARD;PPARG;RELA;SIRT1,GO:0009755,hormone-mediated signaling pathway,signaling_receptor=1
theme_28,Chemical / oxygen / abiotic stress response,2,1,GO:BP,11,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;RELA;SIRT1;STAT3;TIMP1,GO:0033993,response to lipid,chemical_oxygen_stress=1;lipid_eicosanoid=1
theme_29,Lipid / fatty-acid / eicosanoid metabolism,2,1,GO:BP,4,CYP1A2;PTGS1;PTGS2;SIRT1,GO:0033559,unsaturated fatty acid metabolic process,lipid_eicosanoid=2
theme_30,Signaling / receptor / hormone response,1,1,GO:BP,8,DKK1;ESR1;MMP9;PPARG;PTGS2;RELA;SIRT1;STAT3,GO:1902532,negative regulation of intracellular signal transduction,signaling_receptor=1
theme_31,Inflammation / defense / stimulus response,1,1,GO:BP,10,BECN1;CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1,GO:0009628,response to abiotic stimulus,inflammation_defense=1
theme_32,Apoptosis / programmed cell death,7,1,GO:BP,12,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1,GO:0042981,regulation of apoptotic process,apoptosis_cell_death=7
theme_33,Lipid / fatty-acid / eicosanoid metabolism,1,1,GO:BP,5,CYP1A2;CYP3A4;ESR1;PPARD;SIRT1,GO:0008202,steroid metabolic process,lipid_eicosanoid=1
theme_34,Inflammation / defense / stimulus response,4,1,GO:BP,9,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA,GO:0043207,response to external biotic stimulus,inflammation_defense=4
theme_35,Chemical / oxygen / abiotic stress response,1,1,GO:BP,6,BECN1;MMP2;PPARG;PTGS2;RELA;SIRT1,GO:0062197,cellular response to chemical stress,chemical_oxygen_stress=1
theme_36,General metabolism / biosynthesis / storage,1,1,GO:BP,16,BECN1;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,GO:0044238,primary metabolic process,general_metabolism=1
theme_37,Signaling / receptor / hormone response,1,1,GO:BP,7,BECN1;MMP2;MMP9;PPARG;PTGS2;RELA;SIRT1,GO:2001233,regulation of apoptotic signaling pathway,signaling_receptor=1
theme_38,Lipid / fatty-acid / eicosanoid metabolism,1,1,GO:BP,3,CYP1A2;CYP3A4;PPARD,GO:0008203,cholesterol metabolic process,lipid_eicosanoid=1
theme_39,Matrix remodeling / cell migration,1,1,GO:BP,9,CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;SIRT1;STAT3;TIMP1,GO:0030334,regulation of cell migration,matrix_migration=1
theme_40,Lipid / fatty-acid / eicosanoid metabolism,1,1,GO:BP,5,CRP;PPARD;PPARG;PTGS2;SIRT1,GO:0010876,lipid localization,lipid_eicosanoid=1
theme_41,Signaling / receptor / hormone response,1,1,REAC,3,ESR1;PPARD;PPARG,REAC:R-HSA-383280,Nuclear Receptor transcription pathway,signaling_receptor=1
theme_42,Lipid / fatty-acid / eicosanoid metabolism,2,1,REAC,3,CYP1A2;CYP3A4;PTGS2,REAC:R-HSA-9018677,Biosynthesis of DHA-derived SPMs,lipid_eicosanoid=2
